"Step","Grouped runs - relative error (wd): -2.95","Grouped runs - relative error (wd): -2.95__MIN","Grouped runs - relative error (wd): -2.95__MAX"
"2","24.562520784729756","0.10027212891330894","201.4045364920834"
"4","1.6827916897674406","0.12551110846961813","4.591443821198946"
"8","1.5081842296306767","0.09753545045094235","4.772894739585362"
"16","1.1726212819062856","0.09725979194781684","4.859400932969792"
"32","0.2128472681118857","0.09216293856616978","0.6714506199081991"
"64","0.1332765045553451","0.08872489226685441","0.19979587926944242"
"128","0.11936397129772239","0.06843150198214581","0.18564018264131235"
"256","0.08473120640616355","0.053696050293202235","0.15437922608375446"
"512","0.05988434607720446","0.043581932052671093","0.08084278213012817"
"1024","0.03598550595215105","0.01184240363271686","0.05743950803217087"
"2048","0.026600744828014604","0.005667394785200076","0.04826805911427152"
"4096","0.0123320957647758","0.0038217239256412","0.02335146990555882"
"8192","0.007557995933745327","0.00211466699128647","0.016199321434487483"
"16384","0.003293716303387655","0.0007793342464151969","0.00641667436035184"
"20000","0.002324109741399238","0.0011858226875098169","0.0037405163376795364"
"30000","0.002124952342175708","0.0007772176195643408","0.004127837887752319"
"40000","0.0011485081294045618","0.00036471363819498467","0.002076896274556205"
"50000","0.0011777564017391511","0.0004560378031735638","0.0024242635121881654"
"60000","0.001006970855455977","0.0006272473579451848","0.0012845234204516129"
"70000","0.0009309800798006951","0.00037119272218526873","0.0018015107707352574"
"80000","0.0010783574733829043","0.0003085477526969781","0.0022495866855949563"
"90000","0.0008044400991627797","0.00024095665901955165","0.001635582164448587"
"100000","0.0008582594877045661","0.00037469303406279203","0.0021411382110652203"
