"Step","Grouped runs - relative error (wd): -1","Grouped runs - relative error (wd): -1__MIN","Grouped runs - relative error (wd): -1__MAX"
"2","7.373618823396131","4.435409587739285","12.994250075860506"
"4","9.313347918995031","4.357509273809941","19.82705414410714"
"8","8.993795188287901","4.441296502097131","23.056396615488776"
"16","6.576139386522404","1.6625745425131007","14.748910548453997"
"32","6.564834225443438","1.1399671389641401","13.126607329965367"
"64","3.6746219468503343","0.841076229770939","10.208853667099648"
"128","3.7372156595985673","0.40417592963139826","9.05438448038231"
"256","1.4457335240349534","0.16832112663706172","4.87277984657916"
"512","0.5813406745541784","0.03630486331154131","2.0793157767933805"
"1024","0.1082719181255248","0.019575886109631846","0.36160766137155764"
"2048","0.02785855687891106","0.005889634363272281","0.07711592356104903"
"4096","0.026943309141049858","0.004143979720381327","0.10380060856783495"
"8192","0.00839308107755625","0.002366660075692482","0.02131663235558192"
"16384","0.003257142951346684","0.0012685585858559125","0.010734228578461059"
"20000","0.003117529125807728","0.0011459111944720811","0.0063938782761327"
"30000","0.002552604526787565","0.0010722863964061594","0.005147467063097919"
"40000","0.0019036644560608313","0.0007579083461710278","0.004235882586901098"
"50000","0.0014842590630040212","0.0009207977928436875","0.002145942861854177"
"60000","0.0011880500098743747","0.0008941045574089333","0.0013983084861818348"
"70000","0.001030847714991162","0.0005935571704632266","0.0014822274284221146"
"80000","0.0010098059961740637","0.0004996414120408636","0.0013162146558116069"
"90000","0.001126652152881841","0.0006885240507883295","0.0016283002721232261"
"100000","0.0010072579627939116","0.0007461095326853791","0.0017268681102793942"
