"Step","Grouped runs - relative error (wd): -1","Grouped runs - relative error (wd): -1__MIN","Grouped runs - relative error (wd): -1__MAX"
"2","48.414347758976035","25.769872396438025","85.75284772110764"
"4","49.628103548409534","25.507495538166346","85.57327348381973"
"8","49.94849063465465","25.00758657784185","101.98505023050625"
"16","38.334258658791654","12.603460863009943","85.9844948075378"
"32","31.064409477066373","5.196361530827071","68.19525249635012"
"64","21.137200784518836","2.888502766829488","51.78575655615146"
"128","23.10294183919992","3.081202674801213","55.07353799079843"
"256","7.89007209701902","1.1495774583021274","28.033653281774065"
"512","3.6440899131534024","0.2737787297079782","13.128381135232775"
"1024","0.5777260204984567","0.1482682904053641","1.5238568342412788"
"2048","0.19936317664643918","0.03461291108140015","0.5960528297516864"
"4096","0.19962597751431863","0.025896441968860852","1.1332960086885127"
"8192","0.04197322381681713","0.013510161302653059","0.14079717715938903"
"16384","0.018055202395010603","0.007661501061551733","0.0567679144085244"
"20000","0.01647280150922899","0.007307668983279255","0.04024893607260605"
"30000","0.02830804619650884","0.006149165285231682","0.1794738758328589"
"40000","0.010088213945965032","0.003549808450706506","0.02528812973844736"
"50000","0.008863969280474972","0.005953824161781118","0.014292542870778685"
"60000","0.007209405484924068","0.005233346768863726","0.008553095810121635"
"70000","0.006454627117888921","0.003936730717176115","0.008760854341423216"
"80000","0.006382485716756486","0.0033498719173363925","0.008187768488058592"
"90000","0.006886862039265941","0.004132248274347356","0.011630079244804432"
"100000","0.006597435926580511","0.004889364201789191","0.010856263656546804"
