"Step","Grouped runs - relative error (wd): 0","Grouped runs - relative error (wd): 0__MIN","Grouped runs - relative error (wd): 0__MAX"
"2","977.6913106259519","62.689337117856915","8021.537064670553"
"4","260.56711229907154","40.797441351016786","1434.391564582584"
"8","125.26810031695292","62.58512575590967","296.6686505261348"
"16","109.46571496891288","12.383619853917608","338.4449481556229"
"32","59.4011741466547","12.603546259812356","116.80453422447927"
"64","26.71988801081995","7.46729123166475","69.4130114613535"
"128","37.53184562658211","3.320877560637226","251.47367050427832"
"256","8.342361600908529","1.0223612980084429","44.25838021468596"
"512","3.0697756171512247","0.9742202627069556","10.93159008820984"
"1024","1.1428198789446646","0.36371430802882704","2.789432211300427"
"2048","0.6102676955072035","0.15864919195690655","1.231272444834483"
"4096","0.47644349636729844","0.09400852252454996","1.406941671492426"
"8192","0.16287896864992804","0.05377785654771812","0.40958507759911816"
"16384","0.10217060364885881","0.04220831153634357","0.1575633013631497"
"20000","0.0995498827893748","0.03245516794225708","0.18715057089848447"
"30000","0.06759532757707602","0.028043927894133278","0.2614400476726415"
"40000","0.04877616129950568","0.018686008813179274","0.07550438504922019"
"50000","0.03892668472354861","0.013432250722842824","0.06706636628707456"
"60000","0.042691881354294456","0.017073910238406834","0.11343675255357973"
"70000","0.04286125921825606","0.01997685586940751","0.10139059380192626"
"80000","0.03947370118200206","0.02173329327787701","0.07308666816405521"
"90000","0.0321591485091428","0.014479355551443931","0.08211625390586769"
"100000","0.031956168012242187","0.012670713071703735","0.05495203538209659"
