"Step","Grouped runs - relative error (wd): -1","Grouped runs - relative error (wd): -1__MIN","Grouped runs - relative error (wd): -1__MAX"
"2","7.165646509153369","3.24254746894907","12.724969200961425"
"4","8.104263948315037","3.3524407105137803","15.112051858705112"
"8","7.352513944153091","3.2331721377141354","17.06178667656177"
"16","4.367452308781425","1.0195740987398871","11.40029025416014"
"32","3.105452722242057","0.24550880479437953","8.898291515794885"
"64","0.7835134423788724","0.18232864678661004","2.048653839206849"
"128","0.20015367029421718","0.045816597995031585","0.4289942744011194"
"256","0.17784095707991066","0.0211974720913996","0.6326230900215306"
"512","0.14122951138362913","0.017722133635204227","0.6417678286075004"
"1024","0.06103592490720274","0.008620983321929584","0.25229725797339536"
"2048","0.0223048101581239","0.0042730634142504826","0.10505246685593884"
"4096","0.014642535515631208","0.0012015742115100193","0.08251763677802898"
"8192","0.005282481289712312","0.0020686784882019502","0.024068974962024516"
"16384","0.0021730614661311246","0.0006050076132850018","0.0058282045390494605"
"20000","0.002701105122696248","0.0008673816033257214","0.00785619208824067"
"30000","0.0015534818056577972","0.0005076016803849059","0.0037551761160924103"
"40000","0.0012596301313434236","0.0003326733730577594","0.002288420712901375"
"50000","0.0012029121773068036","0.00040039381737550845","0.0018024468578486756"
"60000","0.0011331197971627114","0.0003636563176835306","0.0026264639841179663"
"70000","0.0012104274754725663","0.00044689182670761636","0.0023576627551062574"
"80000","0.0009681836107573905","0.0003354976953913956","0.001955257252654996"
"90000","0.0013487047181015442","0.0004544229110702522","0.002823015161082958"
"100000","0.001243589589545218","0.0004934910068342791","0.0022644340426052627"
