"Step","Grouped runs - relative error (wd): -4.2","Grouped runs - relative error (wd): -4.2__MIN","Grouped runs - relative error (wd): -4.2__MAX"
"2","2.601670990284645","1.2073226023550556","5.136274939105076"
"4","4.978433819040248","1.5103911570066395","14.75990280056576"
"8","5.66467131513939","1.5655809667580765","15.921864852838645"
"16","3.61000320886408","1.4100491764921483","9.069074228113264"
"32","3.020986313330095","2.189674391722349","3.639152668713453"
"64","2.549847235009124","0.7639957855198077","4.0201424562733195"
"128","2.7294170111815643","0.6476115002844831","4.58057218656502"
"256","1.8634431199520691","0.09030079397182371","2.971909206049169"
"512","1.2980603008456033","0.05629167000376558","2.897310643399517"
"1024","1.12375160916037","0.022372318886605284","2.3679041274945054"
"2048","0.7547351048311218","0.35487916844106554","1.5787243087051779"
"4096","0.4740950929880908","0.05376242259957894","1.2056413926559753"
"8192","0.26520620267643474","0.0015358044934845694","0.511602210032528"
"16384","0.24422172611134207","0.048899216926865496","0.389805550306778"
"20000","0.1756841619186191","0.019553002726065968","0.2590776513517362"
"30000","0.1488729344892363","0.002814167390511395","0.32157020065435293"
"40000","0.11100939269221015","0.009467221672598758","0.23855929294118286"
"50000","0.12395333955360484","0.00040693854830329234","0.2375674412309678"
"60000","0.08974723089299835","0.0015839934778285718","0.21650555469820484"
"70000","0.047353234416877985","0.0027575283471963636","0.11428734019336338"
"80000","0.05897779551455205","0.0002156029174490027","0.11790556451748972"
"90000","0.054967014512353474","0.012570707902364411","0.19149491220450868"
"100000","0.04720790792968233","0.0002195325129663369","0.12540215467251778"
